<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JNJ.US,5,20240603,160000,148.24,148.725,148.24,148.6477,98375,0
JNJ.US,5,20240603,160500,148.67,148.7,148.43,148.45,92181,0
JNJ.US,5,20240603,161000,148.4301,148.55,148.29,148.5,47274,0
JNJ.US,5,20240603,161500,148.5,148.51,148.335,148.46,36540,0
JNJ.US,5,20240603,162000,148.46,148.9,148.46,148.6801,77029,0
JNJ.US,5,20240603,162500,148.68,148.75,148.5,148.53,51160,0
JNJ.US,5,20240603,163000,148.53,148.64,148.32,148.4,69706,0
JNJ.US,5,20240603,163500,148.39,148.57,148.36,148.45,50522,0
JNJ.US,5,20240603,164000,148.41,148.49,148.1,148.25,54182,0
JNJ.US,5,20240603,164500,148.24,148.34,148.07,148.22,39439,0
JNJ.US,5,20240603,165000,148.24,148.32,148.095,148.16,38468,0
JNJ.US,5,20240603,165500,148.1,148.26,147.93,148.09,45779,0
JNJ.US,5,20240603,170000,148.06,148.55,148.06,148.5196,73107,0
JNJ.US,5,20240603,170500,148.48,148.67,148.15,148.15,74579,0
JNJ.US,5,20240603,171000,148.17,148.26,148.1,148.16,36461,0
JNJ.US,5,20240603,171500,148.16,148.18,148.01,148.05,32930,0
JNJ.US,5,20240603,172000,148.03,148.07,147.875,148.01,46987,0
JNJ.US,5,20240603,172500,147.97,148.38,147.96,148.33,44621,0
JNJ.US,5,20240603,173000,148.29,148.29,147.72,147.76,35374,0
JNJ.US,5,20240603,173500,147.73,147.93,147.685,147.72,40081,0
JNJ.US,5,20240603,174000,147.7001,147.81,147.6,147.74,29123,0
JNJ.US,5,20240603,174500,147.68,147.75,147.53,147.53,22067,0
JNJ.US,5,20240603,175000,147.52,147.93,147.5,147.7599,95273,0
JNJ.US,5,20240603,175500,147.74,147.88,147.58,147.705,25882,0
JNJ.US,5,20240603,180000,147.695,147.86,147.66,147.86,47049,0
JNJ.US,5,20240603,180500,147.845,147.873,147.61,147.7575,15244,0
JNJ.US,5,20240603,181000,147.76,147.88,147.65,147.73,49109,0
JNJ.US,5,20240603,181500,147.75,147.765,147.47,147.59,29691,0
JNJ.US,5,20240603,182000,147.6,147.6,147.5,147.58,15787,0
JNJ.US,5,20240603,182500,147.61,147.6748,147.42,147.431,26801,0
JNJ.US,5,20240603,183000,147.41,147.5774,147.41,147.47,57540,0
JNJ.US,5,20240603,183500,147.465,147.525,147.36,147.39,31818,0
JNJ.US,5,20240603,184000,147.42,147.4986,147.25,147.32,18341,0
